date,westerly,easterly
2012-05-12T00:00:00,1.0,0.0
2012-05-13T00:00:00,1.0,0.0
2012-05-14T00:00:00,1.0,0.0
2012-05-15T00:00:00,1.0,0.0
2012-05-16T00:00:00,1.0,0.0
2012-05-17T00:00:00,0.01,0.99
2012-05-18T00:00:00,0.406,0.594
2012-05-19T00:00:00,0.271,0.729
2012-05-20T00:00:00,0.0,1.0
2012-05-21T00:00:00,0.999,0.001
2012-05-22T00:00:00,1.0,0.0
2012-05-23T00:00:00,0.904,0.096
2012-05-24T00:00:00,0.0,1.0
2012-05-25T00:00:00,0.0,1.0
2012-05-26T00:00:00,0.0,1.0
2012-05-27T00:00:00,0.0,1.0
2012-05-28T00:00:00,0.716,0.284
2012-05-29T00:00:00,0.799,0.201
2012-05-30T00:00:00,0.998,0.002
2012-05-31T00:00:00,1.0,0.0
2012-06-01T00:00:00,0.218,0.782
2012-06-02T00:00:00,0.0,1.0
2012-06-03T00:00:00,0.0,1.0
2012-06-04T00:00:00,0.0,1.0
2012-06-05T00:00:00,0.21,0.79
2012-06-06T00:00:00,1.0,0.0
2012-06-07T00:00:00,0.334,0.666
2012-06-08T00:00:00,1.0,0.0
2012-06-09T00:00:00,1.0,0.0
2012-06-10T00:00:00,0.002,0.998
2012-06-11T00:00:00,0.0,1.0
2012-06-12T00:00:00,0.002,0.998
2012-06-13T00:00:00,0.005,0.995
2012-06-14T00:00:00,0.0,1.0
2012-06-15T00:00:00,0.998,0.002
2012-06-16T00:00:00,1.0,0.0
2012-06-17T00:00:00,1.0,0.0
2012-06-18T00:00:00,1.0,0.0
2012-06-19T00:00:00,1.0,0.0
2012-06-20T00:00:00,0.153,0.847
2012-06-21T00:00:00,0.571,0.429
2012-06-22T00:00:00,1.0,0.0
2012-06-23T00:00:00,1.0,0.0
2012-06-24T00:00:00,1.0,0.0
2012-06-25T00:00:00,1.0,0.0
2012-06-26T00:00:00,1.0,0.0
2012-06-27T00:00:00,1.0,0.0
2012-06-28T00:00:00,0.557,0.443
2012-06-29T00:00:00,1.0,0.0
2012-06-30T00:00:00,1.0,0.0
2012-07-01T00:00:00,1.0,0.0
2012-07-02T00:00:00,1.0,0.0
2012-07-03T00:00:00,1.0,0.0
2012-07-04T00:00:00,1.0,0.0
2012-07-05T00:00:00,1.0,0.0
2012-07-06T00:00:00,1.0,0.0
2012-07-07T00:00:00,0.009,0.992
2012-07-08T00:00:00,0.872,0.128
2012-07-09T00:00:00,1.0,0.0
2012-07-10T00:00:00,1.0,0.0
2012-07-11T00:00:00,1.0,0.0
2012-07-12T00:00:00,1.0,0.0
2012-07-13T00:00:00,1.0,0.0
2012-07-14T00:00:00,0.739,0.261
2012-07-15T00:00:00,1.0,0.0
2012-07-16T00:00:00,1.0,0.0
2012-07-17T00:00:00,1.0,0.0
2012-07-18T00:00:00,1.0,0.0
2012-07-19T00:00:00,1.0,0.0
2012-07-20T00:00:00,1.0,0.0
2012-07-21T00:00:00,0.0,1.0
2012-07-22T00:00:00,0.999,0.001
2012-07-23T00:00:00,1.0,0.0
2012-07-24T00:00:00,1.0,0.0
2012-07-25T00:00:00,0.888,0.112
2012-07-26T00:00:00,0.0,1.0
2012-07-27T00:00:00,0.997,0.003
2012-07-28T00:00:00,1.0,0.0
2012-07-29T00:00:00,1.0,0.0
2012-07-30T00:00:00,1.0,0.0
2012-07-31T00:00:00,1.0,0.0
2012-08-01T00:00:00,0.666,0.334
2012-08-02T00:00:00,1.0,0.0
2012-08-03T00:00:00,1.0,0.0
2012-08-04T00:00:00,0.997,0.003
2012-08-05T00:00:00,0.992,0.008
2012-08-06T00:00:00,1.0,0.0
2012-08-07T00:00:00,1.0,0.0
2012-08-08T00:00:00,1.0,0.0
2012-08-09T00:00:00,1.0,0.0
2012-08-10T00:00:00,0.87,0.13
2012-08-11T00:00:00,0.0,1.0
2012-08-12T00:00:00,0.54,0.46
2012-08-13T00:00:00,0.977,0.023
2012-08-14T00:00:00,0.985,0.015
2012-08-15T00:00:00,0.475,0.525
2012-08-16T00:00:00,1.0,0.0
2012-08-17T00:00:00,0.752,0.249
2012-08-18T00:00:00,1.0,0.0
2012-08-19T00:00:00,0.682,0.318
2012-08-20T00:00:00,1.0,0.0
2012-08-21T00:00:00,1.0,0.0
2012-08-22T00:00:00,1.0,0.0
2012-08-23T00:00:00,1.0,0.0
2012-08-24T00:00:00,0.332,0.668
2012-08-25T00:00:00,1.0,0.0
2012-08-26T00:00:00,1.0,0.0
2012-08-27T00:00:00,1.0,0.0
2012-08-28T00:00:00,1.0,0.0
2012-08-29T00:00:00,1.0,0.0
2012-08-30T00:00:00,1.0,0.0
2012-08-31T00:00:00,1.0,0.0
2012-09-01T00:00:00,1.0,0.0
2012-09-02T00:00:00,1.0,0.0
2012-09-03T00:00:00,1.0,0.0
2012-09-04T00:00:00,1.0,0.0
2012-09-05T00:00:00,0.007,0.993
2012-09-06T00:00:00,1.0,0.0
2012-09-07T00:00:00,1.0,0.0
2012-09-08T00:00:00,1.0,0.0
2012-09-09T00:00:00,1.0,0.0
2012-09-10T00:00:00,1.0,0.0
2012-09-11T00:00:00,1.0,0.0
2012-09-12T00:00:00,1.0,0.0
2012-09-13T00:00:00,1.0,0.0
2012-09-14T00:00:00,1.0,0.0
2012-09-15T00:00:00,1.0,0.0
2012-09-16T00:00:00,1.0,0.0
2012-09-17T00:00:00,1.0,0.0
2012-09-18T00:00:00,1.0,0.0
2012-09-19T00:00:00,1.0,0.0
2012-09-20T00:00:00,1.0,0.0
2012-09-21T00:00:00,1.0,0.0
2012-09-22T00:00:00,0.002,0.998
2012-09-23T00:00:00,0.0,1.0
2012-09-24T00:00:00,0.734,0.266
2012-09-25T00:00:00,1.0,0.0
2012-09-26T00:00:00,1.0,0.0
2012-09-27T00:00:00,1.0,0.0
2012-09-28T00:00:00,1.0,0.0
2012-09-29T00:00:00,1.0,0.0
2012-09-30T00:00:00,1.0,0.0
2012-10-01T00:00:00,1.0,0.0
2012-10-02T00:00:00,1.0,0.0
2012-10-03T00:00:00,1.0,0.0
2012-10-04T00:00:00,1.0,0.0
2012-10-05T00:00:00,1.0,0.0
2012-10-06T00:00:00,1.0,0.0
2012-10-07T00:00:00,0.833,0.167
2012-10-08T00:00:00,0.0,1.0
2012-10-09T00:00:00,0.0,1.0
2012-10-10T00:00:00,0.0,1.0
2012-10-11T00:00:00,0.151,0.849
2012-10-12T00:00:00,1.0,0.0
2012-10-13T00:00:00,1.0,0.0
